Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListChildrenServletTest,testDoGetDepth,Complex Conditional
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListChildrenServletTest,testDoGetDepth,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListChildrenServletTest,testDoGetDepth,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListComponentsServletTest,testDoGetSuccess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListComponentsServletTest,testDoGetSuccess,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListDesignsServletTest,testNoStyle,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListDesignsServletTest,testDoGetSuccessSuper,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListDesignsServletTest,testDoGetSuccessSuper,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListDesignsServletTest,testDoGetSuccessShallow,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ListDesignsServletTest,testDoGetSuccessShallow,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,PolicyRulesServletTest,listPathsSuccess,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,PolicyRulesServletTest,listPathsSupertype,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,buildJobData,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,invalidJobData,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,noPermissionsJobDataPath,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,noPermissionsSinglePath,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,noPermissionsMultiplePaths,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,noPermissionDesign,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,noPermissionConf,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testTrackingState,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testJobSchedulingFails,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testFullJobScheduling,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testFullJobScheduling,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testFullJobScheduling,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServletTest,testFullJobScheduling,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet.rule,AbstractListRulesServlet,writeResponse,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.servlet.rule,AbstractListRulesServlet,getRules,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet.rule,AbstractListRulesServletTest,getRewriteRuleService,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet.rule,MockListRulesServlet,getRewriteRuleService,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet.rule,ListComponentRulesServletTest,testComponentRules,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet.rule,ListPolicyRulesServletTest,testPolicyRules,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.structure.impl,StructureRewriteRuleServiceImplTest,beforeEach,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.impl,StructureRewriteRuleServiceImplTest,beforeEach,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutor,doProcess,Complex Conditional
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,pathsNotPage,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,createVersionManagementFails,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.structure.job,PageStructureJobExecutorTest,doProcessNoReprocess,Magic Number
